#Position (bp)	mapping quality
1.844652845E8	0.0
1.850895325E8	0.0
1.857137805E8	0.0
1.863380285E8	0.0
1.869622765E8	0.0
1.875865245E8	0.0
1.882107725E8	0.0
1.888350205E8	0.0
1.894592685E8	0.0
1.900835165E8	0.0
1.907077645E8	0.0
1.913320125E8	0.0
1.919562605E8	0.0
1.925805085E8	0.0
1.932047565E8	0.0
1.938290045E8	0.0
1.944532525E8	0.0
1.950775005E8	0.0
1.957017485E8	0.0
1.963259965E8	0.0
1.969502445E8	0.0
1.975744925E8	0.0
1.981987405E8	0.0
1.988229885E8	0.0
1.994472365E8	0.0
2.000714845E8	0.0
2.006957325E8	0.0
2.013199805E8	0.0
2.019442285E8	0.0
2.025684765E8	0.0
2.031927245E8	0.0
2.038169725E8	0.0
2.044412205E8	0.0
2.050654685E8	0.0
2.056897165E8	0.0
2.063139645E8	0.0
2.069382125E8	0.0
2.075624605E8	0.0
2.081867085E8	0.0
2.088109565E8	0.0
2.094352045E8	0.0
2.100594525E8	0.0
2.106837005E8	0.0
2.113079485E8	0.0
2.119321965E8	0.0
2.125564445E8	0.0
2.131806925E8	0.0
2.138049405E8	0.0
2.144291885E8	0.0
2.150534365E8	0.0
2.156776845E8	0.0
2.163019325E8	0.0
2.169261805E8	0.0
2.175504285E8	0.0
2.181746765E8	0.0
2.187989245E8	0.0
2.194231725E8	0.0
2.200474205E8	0.0
2.206716685E8	0.0
2.212959165E8	0.0
2.219201645E8	0.0
2.225444125E8	0.0
2.231686605E8	0.0
2.237929085E8	0.0
2.244171565E8	0.0
2.250414045E8	0.0
2.256656525E8	0.0
2.262899005E8	0.0
2.269141485E8	0.0
2.275383965E8	0.0
2.281626445E8	0.0
2.287868925E8	0.0
2.294111405E8	0.0
2.300353885E8	0.0
2.306596365E8	0.0
2.312838845E8	0.0
2.319081325E8	0.0
2.325323805E8	0.0
2.331566285E8	0.0
2.337808765E8	0.0
2.344051245E8	0.0
2.350293725E8	0.0
2.356536205E8	0.0
2.362778685E8	0.0
2.369021165E8	0.0
2.375263645E8	0.0
2.381506125E8	0.0
2.387748605E8	0.0
2.393991085E8	0.0
2.400233565E8	0.0
2.406476045E8	0.0
2.412718525E8	0.0
2.418961005E8	0.0
2.425203485E8	0.0
2.431445965E8	0.0
2.437688445E8	0.0
2.443930925E8	0.0
2.450173405E8	0.0
2.456415885E8	0.0
2.462658365E8	0.0
2.468900845E8	0.0
2.475143325E8	0.0
2.481385805E8	0.0
2.487035635E8	0.0
2.490156875E8	0.0
2.49103215E8	0.0
2.491474935E8	0.0
2.492273505E8	0.0
2.493246215E8	0.0
2.493781395E8	0.0
2.494193325E8	0.0
2.49528459E8	0.0
2.49636853E8	0.0
2.49678084E8	0.0
